datetime,ECB_RATE_Actual,ECB_RATE_Srv_Med,ECB_RATE_Revised,ECB_RATE_Prior
2023-07-27 20:15:00,4.25,4.25,4.00,4.00
2023-06-15 20:15:00,4.00,4.00,3.75,3.75
2023-05-04 20:15:00,3.75,3.75,3.50,3.50
2023-03-16 21:15:00,3.50,3.50,3.00,3.00
2023-02-02 21:15:00,3.00,3.00,2.50,2.50
2022-12-15 21:15:00,2.50,2.50,2.00,2.0
2022-10-27 20:15:00,2.0,2.0,1.25,1.25
2022-09-08 20:15:00,1.25,1.25,0.5,0.5
2022-07-21 20:15:00,0.5,0.25,0.0,0.0
2022-06-09 19:45:00,0.0,0.0,0.0,0.0
2022-04-14 19:45:00,0.0,0.0,0.0,0.0
2022-03-10 20:45:00,0.0,0.0,0.0,0.0
2022-02-03 20:45:00,0.0,0.0,0.0,0.0
2021-12-16 20:45:00,0.0,0.0,0.0,0.0
2021-10-28 19:45:00,0.0,0.0,0.0,0.0
2021-09-09 19:45:00,0.0,0.0,0.0,0.0
2021-07-22 19:45:00,0.0,0.0,0.0,0.0
2021-06-10 19:45:00,0.0,0.0,0.0,0.0
2021-04-22 19:45:00,0.0,0.0,0.0,0.0
2021-03-11 20:45:00,0.0,0.0,0.0,0.0
2021-01-21 20:45:00,0.0,0.0,0.0,0.0
2020-12-10 20:45:00,0.0,0.0,0.0,0.0
2020-10-29 20:45:00,0.0,0.0,0.0,0.0
2020-09-10 19:45:00,0.0,0.0,0.0,0.0
2020-07-16 19:45:00,0.0,0.0,0.0,0.0
2020-06-04 19:45:00,0.0,0.0,0.0,0.0
2020-04-30 19:45:00,0.0,0.0,0.0,0.0
2020-03-12 20:45:00,0.0,0.0,0.0,0.0
2020-01-23 20:45:00,0.0,0.0,0.0,0.0
2019-12-12 20:45:00,0.0,0.0,0.0,0.0
2019-10-24 19:45:00,0.0,0.0,0.0,0.0
2019-09-12 19:45:00,0.0,0.0,0.0,0.0
2019-07-25 19:45:00,0.0,0.0,0.0,0.0
2019-06-06 19:45:00,0.0,0.0,0.0,0.0
2019-04-10 19:45:00,0.0,0.0,0.0,0.0
2019-03-07 20:45:00,0.0,0.0,0.0,0.0
2019-01-24 20:45:00,0.0,0.0,0.0,0.0
2018-12-13 20:45:00,0.0,0.0,0.0,0.0
2018-10-25 19:45:00,0.0,0.0,0.0,0.0
2018-09-13 19:45:00,0.0,0.0,0.0,0.0
2018-07-26 19:45:00,0.0,0.0,0.0,0.0
2018-06-14 19:45:00,0.0,0.0,0.0,0.0
2018-04-26 19:45:00,0.0,0.0,0.0,0.0
2018-03-08 20:45:00,0.0,0.0,0.0,0.0
2018-01-25 20:45:00,0.0,0.0,0.0,0.0
2017-12-14 20:45:00,0.0,0.0,0.0,0.0
2017-10-26 19:45:00,0.0,0.0,0.0,0.0
2017-09-07 19:45:00,0.0,0.0,0.0,0.0
2017-07-20 19:45:00,0.0,0.0,0.0,0.0
2017-06-08 19:45:00,0.0,0.0,0.0,0.0
2017-04-27 19:45:00,0.0,0.0,0.0,0.0
2017-03-09 20:45:00,0.0,0.0,0.0,0.0
2017-01-19 20:45:00,0.0,0.0,0.0,0.0
2016-12-08 20:45:00,0.0,0.0,0.0,0.0
2016-10-20 19:45:00,0.0,0.0,0.0,0.0
2016-09-08 19:45:00,0.0,0.0,0.0,0.0
2016-07-21 19:45:00,0.0,0.0,0.0,0.0
2016-06-02 19:45:00,0.0,0.0,0.0,0.0
2016-04-21 19:45:00,0.0,0.0,0.0,0.0
