datetime,GE_GPMI_MoM_Actual,GE_GPMI_MoM_Srv_Med,GE_GPMI_MoM_Revised,GE_GPMI_MoM_Prior,Is_P
2023-09-05 15:55:00,None,None,44.7,48.5,0
2023-08-23 15:30:00,44.7,48.3,48.5,48.3,1
2023-08-03 15:55:00,48.5,48.3,50.6,50.6,0
2023-07-24 15:30:00,48.3,50.3,50.6,50.8,1
2023-07-05 15:55:00,50.6,50.8,53.9,53.9,0
2023-06-05 15:55:00,53.9,54.3,54.2,54.2,0
2023-05-23 15:30:00,54.3,53.5,54.2,53.9,1
2023-06-23 15:30:00,50.8,53.5,53.9,54.3,1
2023-05-04 15:55:00,54.2,53.9,52.6,52.6,0
2023-04-21 15:30:00,53.9,52.7,52.6,52.6,1
2023-04-05 15:55:00,52.6,52.6,50.7,50.7,0
2023-03-24 16:30:00,52.6,51.0,50.7,51.1,1
2023-03-03 16:55:00,50.7,51.1,49.9,49.9,0
2023-02-21 16:30:00,51.1,50.4,49.9,49.7,1
2023-02-03 16:55:00,49.9,49.7,49.0,49.0,0
2023-01-24 16:30:00,49.7,49.6,49.0,48.9,1
2023-01-04 16:55:00,49.0,48.9,46.3,46.3,0
2022-12-16 16:30:00,48.9,46.5,46.3,46.4,1
2022-12-05 16:55:00,46.3,46.4,45.1,45.1,0
2022-11-23 16:30:00,46.4,44.9,45.1,44.1,1
2022-11-04 16:55:00,45.1,44.1,45.7,45.7,0
2022-10-24 15:30:00,44.1,45.3,45.7,45.9,1
2022-10-05 15:55:00,45.7,45.9,46.9,46.9,0
2022-09-23 15:30:00,45.9,46.0,46.9,47.6,1
2022-09-05 15:55:00,46.9,47.6,48.1,48.1,0
2022-08-23 15:30:00,47.6,47.4,48.1,48.0,1
2022-08-03 15:55:00,48.1,48.0,51.3,51.3,0
2022-07-22 15:30:00,48.0,50.1,51.3,51.3,1
2022-07-05 15:55:00,51.3,51.3,53.7,53.7,0
2022-06-23 15:30:00,51.3,53.1,53.7,,1
2022-06-03 15:55:00,53.7,54.6,54.6,,0
